GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HTTP Connector,net.sf.dz3.view.http.v3,HttpConnector.ZoneSnapshotExchanger.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
HTTP Connector,net.sf.dz3.view.http.v3,OAuth2DeviceIdentityProvider,736,11,26,0,129,3,20,1,7,1
HTTP Connector,net.sf.dz3.view.http.v3,OAuth2DeviceIdentityProvider.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
HTTP Connector,net.sf.dz3.view.http.v3,OAuth2DeviceIdentityProvider.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
HTTP Connector,net.sf.dz3.view.http.v3,OAuth2DeviceIdentityProvider.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
HTTP Connector,net.sf.dz3.view.http.v3,HttpConnector.ZoneSnapshotExchanger,326,0,12,0,61,0,12,0,6,0
HTTP Connector,net.sf.dz3.view.http.v3,HttpConnector,189,0,8,0,39,0,13,0,9,0
HTTP Connector,net.sf.dz3.view.http.common,ImmediateExchanger,36,0,2,0,14,0,4,0,3,0
HTTP Connector,net.sf.dz3.view.http.common,BufferedExchanger,72,0,6,0,20,0,7,0,4,0
HTTP Connector,net.sf.dz3.view.http.common,QueueFeeder,0,30,0,4,0,9,0,4,0,2
HTTP Connector,net.sf.dz3.view.http.common,AbstractExchanger,100,0,4,0,29,0,6,0,4,0
HTTP Connector,net.sf.dz3.view.http.common,HttpClientFactory,3,28,0,0,1,8,1,1,1,1
HTTP Connector,net.sf.dz3.view.http.v2,HttpConnector.ZoneSnapshotExchanger.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
HTTP Connector,net.sf.dz3.view.http.v2,ZoneSnapshot,75,146,10,8,9,32,12,2,3,2
HTTP Connector,net.sf.dz3.view.http.v2,HttpConnector.ZoneSnapshotExchanger,248,0,12,0,50,0,10,0,4,0
HTTP Connector,net.sf.dz3.view.http.v2,ZoneCommand,113,0,18,0,20,0,15,0,6,0
HTTP Connector,net.sf.dz3.view.http.v2,ThermostatFactory,30,0,2,0,7,0,4,0,3,0
HTTP Connector,net.sf.dz3.view.http.v2,HttpConnector,193,0,8,0,39,0,13,0,9,0
HTTP Connector,net.sf.dz3.view.http.v2,ThermostatRenderer,141,136,22,8,19,24,17,3,2,3
HTTP Connector,net.sf.dz3.view.http.v1,ThermostatFactory,12,0,0,0,3,0,3,0,3,0
HTTP Connector,net.sf.dz3.view.http.v1,UpstreamBlock,30,0,0,0,8,0,2,0,2,0
HTTP Connector,net.sf.dz3.view.http.v1,HttpConnector,127,0,2,0,25,0,7,0,6,0
HTTP Connector,net.sf.dz3.view.http.v1,ThermostatRenderer,118,0,10,0,17,0,9,0,4,0
HTTP Connector,net.sf.dz3.view.http.v1,HttpConnector.UpstreamBlockExchanger,145,0,4,0,24,0,4,0,2,0
HTTP Connector,net.sf.dz3.view.http.v1,SensorFactory,12,0,0,0,3,0,3,0,3,0
HTTP Connector,net.sf.dz3.view.http.v1,SensorRenderer,65,0,2,0,13,0,5,0,4,0
