GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor,SensorType,90,0,0,0,12,0,3,0,3,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor,DeviceFactory.Type,34,0,0,0,4,0,1,0,1,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,AbstractSwitch,103,0,0,0,25,0,7,0,7,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,ContainerMap,287,0,16,0,54,0,18,0,10,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,AnalogConverterLM34,2,17,1,1,1,3,1,2,0,2
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,AbstractDeviceContainer,32,0,2,0,6,0,4,0,3,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,NullSensor,7,5,0,0,3,2,3,1,3,1
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,IntegerChannelAddress,26,0,2,0,6,0,3,0,2,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,NullSwitch,94,0,6,0,29,0,10,0,7,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,ConvertingSensor,198,0,14,0,42,0,19,0,12,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,AnalogConverterTMP36,2,15,1,1,1,3,1,2,0,2
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,MedianFilter,73,211,8,12,16,38,13,7,5,5
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,AbstractAnalogSensor,101,41,6,2,21,14,9,4,5,4
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,StringChannelAddress,17,0,4,0,5,0,4,0,2,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,ShellSensor,83,203,5,11,18,39,9,6,4,3
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl,ChannelAddress,79,0,8,0,19,0,9,0,5,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl.tcp,TcpConnectionSignature,72,12,8,0,14,5,9,1,5,1
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl.tcp.client,TcpSensorFactory.TcpTemperatureSensor,37,0,0,0,10,0,5,0,5,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl.tcp.client,TcpSensorFactory,102,0,4,0,23,0,7,0,5,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl.tcp.client,TcpSensorFactory.ReaderSignature,48,0,6,0,7,0,5,0,2,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl.tcp.client,TcpSensorFactory.TcpReader,565,0,46,0,118,0,34,0,11,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.factory,SingleSwitchProxy,115,0,8,0,22,0,9,0,5,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.factory,AbstractDeviceFactory.SwitchChannelSplitter,35,0,2,0,7,0,3,0,2,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.factory,DataMap,91,0,8,0,23,0,9,0,5,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.factory,AbstractDeviceFactory.SensorProxy,408,0,22,0,55,0,17,0,6,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.factory,AbstractDeviceFactory,238,0,10,0,39,0,14,0,9,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl.tcp.server,AbstractListener.ConnectionHandler.CommandParser,195,0,22,0,44,0,14,0,3,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl.tcp.server,AbstractListener.ConnectionHandler,170,0,8,0,40,0,8,0,4,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl.tcp.server,SensorServer.BroadcastHandler,142,0,10,0,29,0,11,0,6,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl.tcp.server,AbstractListener,230,48,18,0,51,11,16,2,7,2
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl.tcp.server,AbstractListener.Listener,412,0,24,0,71,0,21,0,9,0
Sensor Abstractions and TCP Implementation,net.sf.dz3.device.sensor.impl.tcp.server,SensorServer,27,7,0,0,10,3,9,2,9,2
